BUYER_STATE,BUYER_COUNTY,MONTH,MME
CO,BENT,7,768.6800000000001
CO,BENT,8,821.5599999999996
CO,BENT,9,752.8899999999993
CO,BENT,10,768.2699999999994
CO,BENT,11,733.6599999999994
CO,BENT,12,757.0299999999996
CO,BOULDER,1,52974.1799999979
CO,BOULDER,2,52412.749999997955
CO,BOULDER,3,60130.22999999761
CO,BOULDER,4,56562.1499999978
CO,BOULDER,5,58740.17999999758
CO,BOULDER,6,60227.679999997395
CO,BOULDER,7,60303.759999997426
CO,BOULDER,8,60704.67999999732
CO,BOULDER,9,59767.30999999743
CO,BOULDER,10,60946.039999997105
CO,BOULDER,11,58578.3499999975
CO,BOULDER,12,60643.36999999759
CO,BROOMFIELD,1,10681.210000000101
CO,BROOMFIELD,2,10888.40000000012
CO,BROOMFIELD,3,12610.120000000228
CO,BROOMFIELD,4,11788.290000000141
CO,BROOMFIELD,5,11952.360000000173
CO,BROOMFIELD,6,12045.020000000128
CO,BROOMFIELD,7,12723.530000000199
CO,BROOMFIELD,8,12962.720000000138
CO,BROOMFIELD,9,12227.360000000215
CO,BROOMFIELD,10,12855.600000000246
CO,BROOMFIELD,11,12900.950000000192
CO,BROOMFIELD,12,13546.800000000221
CO,CHAFFEE,1,4227.2500000000355
CO,CHAFFEE,2,3660.2200000000325
CO,CHAFFEE,3,4094.960000000047
CO,CHAFFEE,4,4057.9000000000365
CO,CHAFFEE,5,4377.590000000041
CO,CHAFFEE,6,4197.32000000005
CO,CHAFFEE,7,4435.430000000047
CO,CHAFFEE,8,4637.870000000037
CO,CHAFFEE,9,4670.840000000038
CO,CHAFFEE,10,4843.1100000000515
CO,CHAFFEE,11,4136.900000000049
CO,CHAFFEE,12,4283.780000000045
CO,CHEYENNE,1,204.33999999999995
CO,CHEYENNE,2,140.60000000000002
CO,CHEYENNE,3,158.22
CO,CHEYENNE,4,207.24
CO,CHEYENNE,5,190.86999999999998
CO,CHEYENNE,6,199.74000000000007
CO,CHEYENNE,7,217.89999999999995
CO,CHEYENNE,8,191.49999999999997
CO,CHEYENNE,9,210.12
CO,CHEYENNE,10,193.96
CO,CHEYENNE,11,187.0
CO,CHEYENNE,12,210.77000000000007
